"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 25 20:49:08 GMT 2023","Sun Jun 25 20:49:09 GMT 2023","825","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
"failed","Sun Jun 25 19:16:49 GMT 2023","Sun Jun 25 19:16:55 GMT 2023","5622","","Страница авторизации пользователя","","","","Test 1:Проверка, что при изменении данных в поле 'Фамилия имя' в разделе 'Редактирование профиля' изменения успешно сохраняются и верно отображаются",""
"passed","Sun Jun 25 20:49:11 GMT 2023","Sun Jun 25 20:49:12 GMT 2023","857","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"passed","Sun Jun 25 20:49:14 GMT 2023","Sun Jun 25 20:49:15 GMT 2023","925","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Sun Jun 25 20:49:15 GMT 2023","Sun Jun 25 20:49:16 GMT 2023","326","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"passed","Sun Jun 25 20:49:16 GMT 2023","Sun Jun 25 20:49:17 GMT 2023","1089","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Sun Jun 25 20:49:12 GMT 2023","Sun Jun 25 20:49:14 GMT 2023","1943","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
"passed","Sun Jun 25 20:49:09 GMT 2023","Sun Jun 25 20:49:10 GMT 2023","1390","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Sun Jun 25 20:49:10 GMT 2023","Sun Jun 25 20:49:11 GMT 2023","627","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
"passed","Sun Jun 25 20:49:02 GMT 2023","Sun Jun 25 20:49:06 GMT 2023","4510","","Раздел профиль","","","","Test 1:Проверка, что если в разделе 'Редактирование профиля' оставить все поля пустыми и нажать сохранить,высветятся валидационные ошибки",""
"passed","Sun Jun 25 20:49:15 GMT 2023","Sun Jun 25 20:49:15 GMT 2023","577","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
"passed","Sun Jun 25 20:49:10 GMT 2023","Sun Jun 25 20:49:10 GMT 2023","393","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
"passed","Sun Jun 25 20:49:07 GMT 2023","Sun Jun 25 20:49:08 GMT 2023","790","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
